ID ARTICULO,ISBN,IDEDITOR,DESCEDITOR,TITULO,CONSIGNADO,DEPOSITO,FALLADOS,DISPONIBLE,CADENA,TOTAL,COSTO,PVP,SECCION,GRUPO,FAMILIA,SUBFAMILIA,PESO,Sucursal Depósito 02,Sucursal Depósito 03,Sucursal Aeropuerto 03,Sucursal Sur 07,Sucursal Norte 08,Sucursal AMBA 28,Sucursal Centro 08,Sucursal Centro 09,Sucursal AMBA 29,Sucursal AMBA 30,Sucursal AMBA 31,Sucursal AMBA 32,Sucursal Costa 08,Sucursal Centro 10,Sucursal Norte 09,Sucursal AMBA 33,Sucursal Costa 09,Sucursal Sur 08,Sucursal AMBA 34,Sucursal AMBA 35,Sucursal AMBA 36,Sucursal Costa 10,Sucursal Mayorista 02,Sucursal Sur 09,Sucursal Norte 10,Sucursal AMBA 37,Sucursal AMBA 38,Sucursal Aeropuerto 04,Sucursal Feria 02,Sucursal Feria 03,Sucursal Feria 04,Sucursal Feria 05,Sucursal Feria 06,Sucursal Feria 07,Sucursal Feria 08,Sucursal AMBA 39,Sucursal Centro 11,Sucursal Norte 11,Sucursal Costa 11,Sucursal AMBA 40,Sucursal Costa 12,Sucursal Costa 13,Sucursal Costa 14,Sucursal Cuyo 05,Sucursal Cuyo 06,Sucursal Cuyo 07,Sucursal Sur 10,Sucursal AMBA 41,Sucursal AMBA 42,Sucursal AMBA 43,Sucursal Centro 12,Sucursal AMBA 44,Sucursal AMBA 45,Sucursal AMBA 46,Sucursal AMBA 47,Sucursal AMBA 48,Sucursal AMBA 49,Sucursal AMBA 50,Sucursal Norte 12,Sucursal Centro 13,Sucursal Centro 14,Sucursal Norte 13,Sucursal AMBA 51,Sucursal Cuyo 08,Sucursal AMBA 52,Sucursal Centro 15,Sucursal AMBA 53,Sucursal AMBA 54,Sucursal Sur 11,Sucursal Norte 14,Sucursal AMBA 55,Sucursal Sur 12,Sucursal AMBA 56,Sucursal AMBA 57
1013819,9781156980275,11,Editorial Horizonte,La ruta luminoso,0,0,0,0,0,0,104.97,725.29,LIBROS,Ciencias Sociales,Didácticos,Edición especial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164623,9780326032221,12,Ediciones del Río,El umbral fugaz,1152,1131,13,1424,294,2873,1798.24,30494.8,LIBROS,Infantil y Juvenil,Referencia,Bestsellers,265.0,0,5,2,0,3,1,3,20,8,1,2,7,6,5,0,2,1,4,2,6,0,5,5,4,1,4,0,1,0,0,0,0,0,0,10,9,0,4,4,2,5,10,8,5,5,2,8,1,9,3,11,2,1,8,4,0,12,7,8,0,8,1,2,4,0,1,7,6,7,4,1,2,4,6
1147094,9788868497203,13,Ediciones del Río,La plaza en la niebla,498,1186,19,1507,226,2214,1774.32,27962.27,LIBROS,Infantil y Juvenil,Referencia,Nuevos autores,268.0,0,5,1,1,2,2,1,4,3,2,5,9,4,2,3,1,0,2,1,1,0,3,1,6,1,6,0,1,0,0,0,0,0,0,8,4,0,5,4,5,1,4,3,5,4,3,3,3,5,1,5,2,1,3,2,0,6,5,3,4,3,4,3,6,0,1,2,1,0,3,4,4,6,4
1153189,9783138714010,14,Ediciones del Río,El puente boreal,761,1145,22,1494,258,2439,1585.03,24129.34,LIBROS,Infantil y Juvenil,Referencia,Bestsellers,271.0,0,1,1,1,2,1,3,4,11,9,15,8,6,3,8,2,1,3,1,1,0,2,3,2,1,5,0,0,0,0,0,0,0,0,5,6,0,3,3,1,4,3,3,2,1,1,10,1,5,1,3,1,1,3,2,0,8,6,3,1,8,2,2,5,0,2,2,4,4,3,5,5,3,5
1117254,9780794141369,15,Ediciones del Río,El puerto de jade,31,0,7,0,2,43,97.61,20862.7,LIBROS,Arte y Fotografía,Coleccionables,Tapa dura,307.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066773,9780109231843,16,Ediciones del Río,El puerto de jade,33,1,1,1,6,44,36.0,17702.63,LIBROS,Arte y Fotografía,Coleccionables,Tapa dura,307.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079120,9785401954661,17,Ediciones del Río,El faro de jade,67,0,1,0,0,61,66.36,16681.87,LIBROS,Ciencias Sociales,Bolsillo,Tapa dura,340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086146,9781678651673,18,Publicaciones Andes,La huella austral,0,0,0,0,0,0,623.83,1622.11,JUGUETES Y VS,Ciencias Exactas,Edición especial,Referencia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086145,9780536126738,19,Publicaciones Andes,El reloj boreal,0,0,0,0,0,0,655.11,1321.53,JUGUETES Y VS,Ciencias Exactas,Edición especial,Referencia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119206,9785218924111,20,Ediciones del Río,El reloj luminoso,91,1480,10,1544,194,1810,166.88,21623.29,LIBROS,Empresa y Economía,Tapa dura,Tapa dura,280.0,45,1,1,3,4,3,5,5,2,4,13,6,6,3,5,5,1,1,0,2,0,2,3,2,1,6,0,2,0,0,0,0,0,0,2,2,0,8,2,4,1,2,2,2,1,1,6,1,2,2,1,0,1,2,0,0,3,2,2,2,3,2,4,3,0,1,2,5,4,2,2,4,5,0
1160424,9785755764520,21,Ediciones del Río,El espejo en la niebla,882,331,14,242,505,1372,4717.68,21326.74,LIBROS,Ciencias Sociales,Bestsellers,Tapa dura,504.0,0,12,5,11,6,7,7,6,5,6,20,11,7,6,6,7,6,6,6,8,0,7,2,4,7,7,0,3,0,0,0,0,0,0,7,8,0,7,6,5,6,7,7,6,6,7,32,8,7,6,5,6,3,5,8,0,8,7,9,7,7,7,7,7,0,5,4,16,5,5,7,5,6,4
1044818,9786421548264,22,Ediciones del Río,El espejo en la niebla,19,1,1,1,0,18,53.7,13353.93,LIBROS,Ciencias Sociales,Bestsellers,Tapa dura,620.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111945,9785142146286,23,Ediciones del Río,La senda olvidado,121,1018,68,1027,393,1358,166.15,10130.41,LIBROS,Ciencias Sociales,Didácticos,Edición especial,331.0,0,8,4,4,3,6,2,7,7,9,16,27,8,6,8,6,7,4,1,5,0,6,0,6,7,5,0,2,0,0,0,0,0,0,1,5,0,8,5,6,5,12,7,3,6,3,7,5,7,5,7,6,1,7,7,0,9,4,9,6,9,6,6,4,0,6,6,11,6,7,10,5,11,5
1062498,9782204267343,24,Ediciones del Río,La senda de bronce,14,0,0,0,0,10,23.19,7248.69,LIBROS,Ciencias Sociales,Clásicos,Tapa dura,202.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122786,9782515352409,25,Ediciones del Río,La isla entre líneas,572,3122,20,2685,89,3853,188.72,26771.3,LIBROS,Empresa y Economía,Nuevos autores,Novela contemporánea,682.0,0,1,1,2,1,3,1,1,5,1,1,4,4,3,2,3,0,1,1,0,0,2,3,4,1,1,0,1,0,0,0,0,0,0,12,2,0,0,1,1,1,2,0,2,1,1,1,3,1,1,2,2,0,0,0,0,1,2,0,1,1,2,1,2,0,0,1,0,0,1,1,1,3,0
1057822,9784897405434,26,Editorial Pampa,El río del alba,0,0,0,0,0,0,108.86,14980.15,LIBROS,Ciencias Sociales,Clásicos,Tapa dura,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131868,9780860335718,27,Ediciones del Río,La plaza eterno,355,2543,44,2601,340,3394,379.35,26612.47,LIBROS,Ciencias Sociales,Clásicos,Tapa dura,180.0,0,3,6,5,7,3,6,3,3,5,12,2,4,6,6,2,1,8,1,2,0,4,6,7,4,6,0,3,0,0,0,0,0,0,5,2,0,7,3,6,1,6,9,6,8,2,28,8,3,1,1,1,1,2,2,0,6,8,8,8,7,2,7,7,0,6,7,3,7,2,5,7,8,5
1139681,9789675302160,28,Ediciones del Río,La ventana lejano,365,2483,245,2133,199,3069,747.62,26159.92,LIBROS,Ciencias Sociales,Didácticos,Clásicos,270.0,4,2,1,1,1,2,4,3,5,9,15,5,3,6,1,1,2,9,1,1,0,4,2,4,1,1,0,0,0,0,0,0,0,0,11,4,0,3,8,1,1,3,3,4,1,3,7,2,1,1,1,2,0,1,0,0,1,5,2,0,6,2,2,2,0,1,0,5,0,2,2,3,6,4
846592,9781414109213,29,Ediciones del Río,La montaña sin fronteras,6,0,3,0,5,11,17.6,26656.54,LIBROS,Salud y Bienestar,Novela contemporánea,Divulgación,520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1108888,9781293362696,30,Ediciones del Río,La senda olvidado,203,63,37,73,247,642,256.69,25348.38,LIBROS,Tecnología,Clásicos,Didácticos,382.0,0,13,9,5,2,1,1,4,4,2,12,2,11,2,2,5,0,5,1,2,0,7,4,2,7,11,0,1,0,0,0,0,0,0,5,4,0,4,3,2,0,3,3,3,4,3,6,3,6,2,1,1,0,3,3,0,3,2,3,2,4,4,3,4,0,1,1,4,1,2,3,9,2,7
965075,9784854753158,31,Ediciones Litoral,El puerto de cristal,4,0,0,0,0,5,48.09,815.72,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054967,9787644016571,32,Editorial Cóndor,La plaza en la niebla,2,0,0,0,0,2,41.7,10423.9,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175396,9786140784417,33,Ediciones del Río,La plaza austral,1321,642,10,762,859,3373,1673.2,23993.07,LIBROS,Salud y Bienestar,Novela contemporánea,Ilustrados,316.0,0,16,14,9,17,11,16,17,9,16,40,21,17,16,17,18,17,13,1,13,0,10,8,18,15,12,0,2,0,0,0,0,0,0,77,10,0,15,9,13,1,19,9,8,17,8,17,11,16,20,6,14,1,11,5,0,15,13,8,5,12,4,13,8,0,10,3,13,7,18,11,11,17,12
1052837,9785436514162,34,Ediciones del Río,El umbral del sur,48,841,6,818,1,770,16.53,13542.1,LIBROS,Arte y Fotografía,Divulgación,Referencia,191.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057830,9782137561102,35,Ediciones del Río,La noche invisible,17,0,0,0,1,15,68.09,9990.15,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,464.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057833,9780240346562,36,Ediciones del Río,El camino perdido,22,0,0,0,1,22,67.88,11136.34,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,464.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057829,9785143634122,37,Ediciones del Río,La casa de las sombras,17,0,4,0,3,24,60.45,8481.8,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,465.0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165679,9783352433904,38,Ediciones del Río,La montaña lejano,683,1729,11,1490,389,3161,1284.33,25330.17,LIBROS,Salud y Bienestar,Novela contemporánea,Ilustrados,284.0,0,11,8,0,3,5,6,11,8,9,0,4,18,5,22,6,1,7,5,4,0,3,2,11,1,8,0,1,0,0,0,0,0,0,36,13,0,8,3,5,0,20,7,1,2,1,21,2,3,1,10,2,1,5,6,0,13,2,1,3,4,3,20,6,0,2,1,4,2,7,0,0,5,8
1145781,9781914663833,39,Ediciones del Río,La torre perdido,195,210,51,210,400,866,829.5,8826.9,LIBROS,Historia y Política,Didácticos,Coleccionables,298.0,23,15,6,2,5,7,6,6,8,5,11,15,8,2,7,9,5,9,4,4,0,4,2,5,6,6,0,3,0,0,0,0,0,0,10,10,0,7,6,5,7,7,5,6,8,5,34,5,6,7,7,6,2,3,5,0,6,7,8,7,5,6,6,4,0,0,6,14,4,5,1,4,5,4
851360,9785804494851,40,Ediciones del Río,El jardín entre líneas,2,0,0,0,0,2,3.28,26.75,LIBROS,Arte y Fotografía,Ilustrados,Bolsillo,276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091010,9781463233002,41,Libros del Puerto,El jardín invisible,2,0,0,0,2,4,766.93,2753.98,LIBROS,Entretenimiento,Referencia,Edición especial,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176942,9784213120157,42,Ediciones del Río,La torre secreto,1288,2723,1,2739,1763,4917,1847.97,32079.41,LIBROS,Arte y Fotografía,Coleccionables,Tapa dura,292.0,4,18,19,21,15,27,29,33,32,21,133,29,25,22,20,17,19,45,27,15,0,22,6,19,21,25,0,9,0,0,0,0,0,0,58,19,0,23,19,19,28,29,31,21,25,21,17,17,18,19,21,32,9,33,26,0,18,17,15,13,16,9,16,30,0,28,28,23,17,22,52,30,32,23
1067288,9785995649019,43,Ediciones del Río,La huella eterno,112,420,13,391,134,721,409.79,24070.83,LIBROS,Ciencias Sociales,Clásicos,Tapa dura,405.0,4,1,1,1,1,1,2,10,5,9,5,6,3,2,0,1,1,1,1,2,0,3,5,2,1,2,0,0,0,0,0,0,0,0,3,3,0,7,2,2,0,3,3,1,1,0,6,1,1,2,7,1,1,2,1,0,5,0,1,2,3,1,2,2,0,1,4,5,1,1,2,1,3,4
1067289,9783001443254,44,Ediciones del Río,La plaza secreto,122,444,18,396,131,638,405.65,20424.6,LIBROS,Ciencias Sociales,Clásicos,Tapa dura,404.0,0,1,0,1,1,2,2,10,6,6,3,6,3,3,0,0,1,1,1,2,0,4,1,2,3,2,0,0,0,0,0,0,0,0,4,1,0,4,2,1,0,5,5,1,1,1,5,2,1,2,5,1,0,2,1,0,9,0,1,3,3,2,2,2,0,1,4,4,1,1,2,1,2,5
1144376,9789565219731,45,Ediciones del Río,La torre de fuego,114,3,1,3,0,124,1954.79,9220.6,JUGUETES Y VS,Narrativa,Coleccionables,Tapa dura,304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178314,9780666102883,46,Ediciones del Río,La casa de sal,0,2514,0,2135,531,2631,5011.66,34507.4,JUGUETES Y VS,Narrativa,Coleccionables,Tapa dura,667.0,0,3,4,3,3,5,6,5,11,5,265,10,5,5,4,3,0,3,0,0,0,3,14,3,3,4,0,3,0,0,0,0,0,0,17,3,0,3,3,3,6,5,6,3,3,3,3,3,3,3,3,5,2,3,2,0,3,3,3,3,3,3,3,3,0,3,3,3,2,3,11,0,3,3
1144568,9782262970508,47,Ediciones del Río,El puente del silencio,97,0,4,0,0,90,1794.18,8733.79,JUGUETES Y VS,Narrativa,Coleccionables,Tapa dura,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1160933,9781205946434,48,Ediciones del Río,La plaza de fuego,1640,2198,14,2115,783,4688,1325.91,22771.88,LIBROS,Arte y Fotografía,Bolsillo,Referencia,180.0,0,13,3,22,10,10,5,10,15,5,12,18,11,13,12,13,5,11,11,12,0,14,2,13,9,15,0,5,0,0,0,0,0,0,57,14,0,11,14,17,5,13,15,9,18,7,15,13,13,14,11,13,5,10,18,0,13,10,15,9,12,14,10,7,0,7,13,13,4,12,11,5,13,19
1106682,9781955497060,49,Ediciones del Río,La isla en el viento,24,6,67,6,13,97,67.42,12099.19,LIBROS,Arte y Fotografía,Coleccionables,Tapa dura,93.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
823793,9786272384080,50,Ediciones del Río,El mapa de piedra,2,0,0,0,0,2,3.19,27.61,LIBROS,Historia y Política,Edición especial,Tapa dura,359.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894982,9784587990572,51,Editorial Glaciar,La ventana lejano,0,0,0,0,0,0,46.73,168.64,LIBROS,Ciencias Sociales,Divulgación,Tapa dura,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
